#K short	G0205
#scanned warm
Wavelength (nm)	%T
2459	0.011907
2460	0.016491
2461	0.01213
2462	0.0057207
2463	0.015994
2464	0.018499
2465	0.014674
2466	0.0078175
2467	0.014407
2468	0.013919
2469	0.014376
2470	0.013276
2471	0.015217
2472	0.010728
2473	0.018983
2474	0.010595
2475	0.015977
2476	0.012777
2477	0.015187
2478	0.011095
2479	0.011464
2480	0.012216
2481	0.016836
2482	0.012251
2483	0.012671
2484	0.011228
2485	0.019246
2486	0.0083273
2487	0.015496
2488	0.015675
2489	0.01023
2490	0.013051
2491	0.01188
2492	0.01133
2493	0.012029
2494	0.015327
2495	0.011943
2496	0.013058
2497	0.0071226
2498	0.011862
2499	0.014302
2500	0.012718
2501	0.017973
2502	0.012255
2503	0.012404
2504	0.013776
2505	0.01599
2506	0.010102
2507	0.0095306
2508	0.013604
2509	0.0074744
2510	0.011915
2511	0.015102
2512	0.015163
2513	0.0098438
2514	0.012156
2515	0.012825
2516	0.01558
2517	0.011598
2518	0.0093604
2519	0.013196
2520	0.015369
2521	0.0093411
2522	0.0050044
2523	0.016388
2524	0.011467
2525	0.013915
2526	0.014382
2527	0.01813
2528	0.015294
2529	0.015469
2530	0.0067651
2531	0.018556
2532	0.0095655
2533	0.010406
2534	0.01251
2535	0.0072727
2536	0.015462
2537	0.013352
2538	0.014997
2539	0.017967
2540	0.013371
2541	0.010639
2542	0.010018
2543	0.0041115
2544	0.010606
2545	0.012653
2546	0.015575
2547	0.0076951
2548	0.014082
2549	0.012085
2550	0.012942
2551	0.010568
2552	0.013403
2553	0.01233
2554	0.010244
2555	0.015055
2556	0.0080924
2557	0.014987
2558	0.012916
2559	0.0071076
2560	0.012726
2561	0.0086551
2562	0.016891
2563	0.0086066
2564	0.014515
2565	0.016814
2566	0.015894
2567	0.0073854
2568	0.014709
